State,Season,Soil_Type,Soil_pH,Nitrogen,Phosphorus,Potassium,Rainfall_mm,Temperature_C,Humidity_percent,Irrigation_Type,Previous_Crop,Area_hectare,Crop,Yield_ton_per_hectare
Uttarakhand,Zaid,Sandy,6.62,112,24,116,1295,27.96,68,Sprinkler,Potato,4.74,Barley,6.07
Himachal Pradesh,Zaid,Red,6.5,123,33,140,969,31.66,59,Rainfed,Rice,2.52,Soybean,5.11
Jharkhand,Kharif,Sandy,6.05,40,42,67,221,10.21,54,Sprinkler,Arhar,3.27,Rice,1.05
Jharkhand,Rabi,Red,6.38,34,71,60,1467,27.77,32,Rainfed,Onion,8.67,Cotton,5.28
Haryana,Kharif,Clay,7.54,92,48,27,587,38.27,43,Drip,Groundnut,8.18,Maize,3.13
Delhi,Rabi,Sandy,7.55,130,69,17,234,37.28,65,Rainfed,Barley,2.23,Soybean,3.71
Uttar Pradesh,Kharif,Sandy,7.77,73,13,63,902,35.27,73,Canal,Maize,9.43,Wheat,3.92
Himachal Pradesh,Kharif,Alluvial,8.27,59,94,91,1078,34.86,55,Drip,Potato,9.67,Barley,5.9
Punjab,Zaid,Sandy,7.32,60,38,24,264,10.47,38,Rainfed,Arhar,7.84,Barley,2.96
Delhi,Rabi,Red,7.69,52,14,50,1251,35.89,37,Canal,Gram,4.77,Onion,4.79
Jammu and Kashmir,Zaid,Alluvial,5.79,81,97,46,298,27.74,51,Rainfed,Rice,8.93,Rice,2.49
Bihar,Kharif,Black,7.64,20,14,112,994,25.68,44,Canal,Cotton,1.55,Wheat,3.32
Uttar Pradesh,Kharif,Red,6.82,82,61,105,684,17.48,74,Sprinkler,Rice,5.63,Sugarcane,6.51
Jammu and Kashmir,Kharif,Red,8.14,64,71,143,995,34.11,73,Tube Well,Soybean,4.46,Moong,6.02
Haryana,Zaid,Red,8.15,147,98,138,832,34.54,70,Canal,Bajra,3.4,Wheat,7.01
Uttarakhand,Rabi,Black,6.95,70,53,68,1456,22.12,78,Drip,Barley,2.91,Rice,4.51
Bihar,Rabi,Sandy,6.24,58,11,140,1336,14.44,85,Rainfed,Arhar,0.85,Barley,5.08
Punjab,Rabi,Clay,5.65,148,28,135,1353,25.93,55,Sprinkler,Pea,9.86,Soybean,9.22
Chhattisgarh,Rabi,Red,6.23,87,64,132,600,31.85,53,Drip,Mustard,4.97,Barley,4.79
Bihar,Kharif,Red,7.95,116,82,133,386,15.6,58,Tube Well,Wheat,8.65,Soybean,5.39
Jharkhand,Zaid,Alluvial,6.48,109,76,105,688,30.73,68,Drip,Maize,9.4,Gram,5.1
Chhattisgarh,Rabi,Black,5.84,61,16,99,823,26.66,89,Drip,Moong,2.98,Soybean,2.63
Uttar Pradesh,Rabi,Black,8.49,56,41,18,1456,20.48,77,Rainfed,Barley,8.54,Jowar,3.8
Uttarakhand,Kharif,Sandy,8.16,135,84,122,303,28.19,64,Canal,Potato,4.04,Wheat,6.27
Delhi,Zaid,Sandy,8.32,112,27,137,1077,26.46,83,Sprinkler,Arhar,4.76,Gram,5.5
Delhi,Rabi,Sandy,6.04,147,17,144,1418,29.73,62,Canal,Jowar,5.65,Maize,6.61
Madhya Pradesh,Zaid,Loamy,7.03,138,31,47,429,21.79,83,Rainfed,Onion,9.11,Rice,2.6
Punjab,Zaid,Loamy,7.44,130,73,70,1015,18.42,64,Tube Well,Maize,7.8,Cotton,5.36
Jammu and Kashmir,Rabi,Black,5.63,65,15,108,1260,37.85,78,Tube Well,Soybean,5.75,Maize,4.78
Uttar Pradesh,Kharif,Clay,5.73,86,27,34,765,30.88,69,Canal,Moong,1.17,Gram,3.41
Punjab,Zaid,Loamy,6.13,105,32,136,354,18.86,55,Tube Well,Maize,7.54,Barley,5.3
Haryana,Zaid,Black,6.58,45,59,22,1027,25.34,86,Canal,Arhar,6.46,Gram,4.9
Jharkhand,Kharif,Loamy,6.08,27,25,124,670,10.83,63,Rainfed,Groundnut,1.39,Wheat,2.55
Delhi,Kharif,Loamy,6.9,82,71,134,349,27.72,51,Rainfed,Mustard,2.88,Bajra,4.77
Himachal Pradesh,Zaid,Alluvial,5.62,34,63,110,1192,34.84,89,Sprinkler,Onion,2.55,Onion,3.69
Jharkhand,Zaid,Sandy,5.66,135,56,108,1022,14.15,45,Rainfed,Bajra,9.77,Maize,6.21
Jharkhand,Zaid,Loamy,7.05,139,72,28,1281,12.35,66,Canal,Jowar,2.25,Potato,6.54
Rajasthan,Kharif,Black,7.57,148,67,131,712,23.27,61,Drip,Barley,5.72,Arhar,5.62
Jammu and Kashmir,Kharif,Clay,7.64,136,10,25,1412,32.14,34,Canal,Wheat,6.31,Gram,4.1
Uttar Pradesh,Kharif,Loamy,6.57,105,66,38,1443,11.38,78,Rainfed,Maize,3.46,Soybean,5.66
Punjab,Kharif,Sandy,8.44,104,48,109,1477,23.02,52,Canal,Wheat,0.96,Jowar,6.13
Madhya Pradesh,Zaid,Red,7.12,23,25,33,535,29.27,78,Sprinkler,Rice,8.74,Gram,2.93
Jharkhand,Kharif,Black,7.41,103,33,149,889,27.2,62,Rainfed,Moong,4.85,Pea,6.3
Delhi,Kharif,Alluvial,6.66,93,52,53,484,12.08,60,Rainfed,Rice,4.08,Masoor,4.04
Punjab,Rabi,Sandy,5.62,54,96,90,289,19.57,55,Rainfed,Moong,6.98,Cotton,2.07
Uttar Pradesh,Zaid,Red,6.99,77,84,129,928,34.1,86,Rainfed,Sugarcane,5.71,Bajra,5.12
